t = 0.0642; x1 = 0.572088; x2 = 0.0685918
t = 0.0662; x1 = 0.563986; x2 = 0.0676461
t = 0.0682; x1 = 0.556034; x2 = 0.0667177
t = 0.0702; x1 = 0.548229; x2 = 0.0658063
t = 0.0722; x1 = 0.540569; x2 = 0.0649117
t = 0.0742; x1 = 0.533049; x2 = 0.0640334
t = 0.0762; x1 = 0.525667; x2 = 0.0631711
t = 0.0782; x1 = 0.51842; x2 = 0.0623245
t = 0.0802; x1 = 0.511307; x2 = 0.0614932
t = 0.0822; x1 = 0.504323; x2 = 0.0606771
t = 0.0842; x1 = 0.497466; x2 = 0.0598756
t = 0.0862; x1 = 0.490734; x2 = 0.0590887
t = 0.0882; x1 = 0.484125; x2 = 0.0583158
t = 0.0902; x1 = 0.477635; x2 = 0.0575569
t = 0.0922; x1 = 0.471262; x2 = 0.0568115
t = 0.0942; x1 = 0.465004; x2 = 0.0560795
t = 0.0962; x1 = 0.458858; x2 = 0.0553605
t = 0.0982; x1 = 0.452823; x2 = 0.0546543
t = 0.1002; x1 = 0.446896; x2 = 0.0539606
t = 0.1022; x1 = 0.441074; x2 = 0.0532792
t = 0.1042; x1 = 0.435357; x2 = 0.0526098
t = 0.1062; x1 = 0.42974; x2 = 0.0519522
t = 0.1082; x1 = 0.424224; x2 = 0.0513061
t = 0.1102; x1 = 0.418804; x2 = 0.0506713
t = 0.1122; x1 = 0.413481; x2 = 0.0500476
t = 0.1142; x1 = 0.408251; x2 = 0.0494348
t = 0.1162; x1 = 0.403112; x2 = 0.0488326
t = 0.1182; x1 = 0.398064; x2 = 0.0482408
t = 0.1202; x1 = 0.393103; x2 = 0.0476592
t = 0.1222; x1 = 0.388229; x2 = 0.0470876
t = 0.1242; x1 = 0.383439; x2 = 0.0465259
t = 0.1262; x1 = 0.378732; x2 = 0.0459737
t = 0.1282; x1 = 0.374106; x2 = 0.045431
t = 0.1302; x1 = 0.369559; x2 = 0.0448975
t = 0.1322; x1 = 0.365091; x2 = 0.044373
t = 0.1342; x1 = 0.360699; x2 = 0.0438574
t = 0.1362; x1 = 0.356381; x2 = 0.0433504
t = 0.1382; x1 = 0.352137; x2 = 0.042852
t = 0.1402; x1 = 0.347965; x2 = 0.0423619
t = 0.1422; x1 = 0.343863; x2 = 0.04188
t = 0.1442; x1 = 0.33983; x2 = 0.0414061
t = 0.1462; x1 = 0.335865; x2 = 0.0409401
t = 0.1482; x1 = 0.331966; x2 = 0.0404817
t = 0.1502; x1 = 0.328132; x2 = 0.0400309
t = 0.1522; x1 = 0.324362; x2 = 0.0395875
t = 0.1542; x1 = 0.320654; x2 = 0.0391513
t = 0.1562; x1 = 0.317008; x2 = 0.0387222
t = 0.1582; x1 = 0.313421; x2 = 0.0383001
t = 0.1602; x1 = 0.309893; x2 = 0.0378848
